material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300314-10.004,steinodur UKD (50-250mm),,,KBOB,10.004,,40,7.6,4.51,3.09
SPAG-300315-10.004,steinodur UKD plus (100-250mm),,,KBOB,10.004,,35,7.6,4.51,3.09
SPAG-300316-10.004,steinodur SPL (20-400mm),,,KBOB,10.004,,36,7.6,4.51,3.09
SPAG-300317-10.004,steinopor EPS-F (10-500mm),,,KBOB,10.004,,18,7.6,4.51,3.09
SPAG-300318-10.004,steinopor EPS-F 20 (10-500mm),,,KBOB,10.004,,22,7.6,4.51,3.09
SPAG-300319-10.004,steinopor EPS-F plus (10-500mm),,,KBOB,10.004,,24,7.6,4.51,3.09
SPAG-300320-10.004,steinopor Roll EPS-T (20-45mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300323-10.004,swissporEPS 15 (10-500mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300324-10.004,swissporEPS 15 100% rezykliert (10-500mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300325-10.004,swissporEPS 20 (10-500mm),swisspor,,KBOB,10.004,,20,7.6,4.51,3.09
SPAG-300326-10.004,swissporEPS 30 (10-500mm),swisspor,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300327-10.004,swissporEPS 30 100% rezykliert (10-400mm),swisspor,,KBOB,10.004,,28,7.6,4.51,3.09
SPAG-300328-10.004,swissporEPS 30 Sockel (50-300mm),swisspor,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300329-10.004,swissporEPS 30 Perimeter (50-400mm),swisspor,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300330-10.004,swissporEPS 30 Perimeter Drain (50-300mm),swisspor,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300331-10.004,swissporEPS-T (Trittschalldämmplatte) (10-50mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300335-10.004,swissporLAMBDA Roof (10-400mm),swisspor,,KBOB,10.004,,23,7.6,4.51,3.09
SPAG-300336-10.004,swissporLAMBDA Vento Premium (10-400mm),swisspor,,KBOB,10.004,,23,7.6,4.51,3.09
SPAG-300337-10.004,swissporLAMBDA Cassette (10-400mm),swisspor,,KBOB,10.004,,23,7.6,4.51,3.09
SPAG-300338-10.004,swissporLAMBDA-T (Trittschalldämmplatte) (10-50mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300339-10.004,swissporLAMBDA White Mono 031 (80-320mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300340-10.004,swissporLAMBDA universell 029 (10-400mm),swisspor,,KBOB,10.004,,23,7.6,4.51,3.09
SPAG-300342-10.004,swissporLAMBDA Vento (10-400mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300343-10.004,swissporLAMBDA White 031 (80-320mm),swisspor,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300347-10.004,"isofloc H2 Wall, isofloc pearl",,,KBOB,10.004,,25,7.6,4.51,3.09
SPAG-300348-10.005,Polystyrol extrudiert (XPS); nicht überwacht,,,KBOB,10.005,,65,14.39,11.3,3.09
